participant_id	session_id	task	line_noise	reference_for_faster	faster_bad_channels	ica_prep_bad_channels	length_ica_data	total_ICs	ICs_removed	total_epochs_pre_artifact_rej	total_epochs_post_artifact_rej	FACE_UpInv	FACE_Inv	FACE_Obj	FACE_UpObj	MMN_Standard	MMN_PreDev	MMN_Dev	total_channels_interp	avg_chan_interp_artifact_rej	std_chan_interp_artifact_rej	range_chan_interp_artifact_rej
437500	V03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
935398	V03	RS	1	Cz	"E10 E33 E34 E60 E65 E74 E77 E82 E84 E108 E109 E111 E112"	0	1158	91	"22  23  28  34  41  43  51  62  78  79"	360	342	n/a	n/a	n/a	n/a	n/a	n/a	n/a	13	0.982456140350877	1.88829915931758	9
573084	V03	RS	0.9799724	Cz	"E8 E25 E32"	0	1136	101	"4   6  11  12  14  25  27  36  38  40  43  44  50  62  63  76  85  92  97"	360	156	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.814102564102564	2.01543875693635	10
558533	V03	RS	0.3688294	Cz	"E54 E86 E118 E124"	0	1765	100	83	360	60	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	0.816666666666667	1.58906930086068	8
970270	V03	RS	0.9966338	Cz	"E14 E21 E41"	0	1118	101	"2   6  12  17  18  22  24  28  31  35  38  39  40  45  46  48  51  53  77  98"	360	299	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.51839464882943	2.28112243464713	10
184697	V03	RS	0.9800016	Cz	E96	0	1907	103	"1   2   6   8  11  21  24  25  38  48  56  60  68  82  92  96"	360	306	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	0.437908496732026	1.47250234371815	10
182286	V03	RS	0.9955248	Cz	"E14 E29 E35"	0	1264	101	"13  29  34  37  43  44  50  55  57  66  85"	360	71	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	3.19718309859155	3.35780420730087	10
547679	V03	RS	0.9938053	Cz	"E75 E87"	0	996	102	"5  14  16  17  22  23  25  33  47  48  52  75  77  79  82  89  93"	360	262	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	1.3969465648855	2.33638352134652	10
629348	V03	RS	0.9476488	Cz	"E14 E27 E106"	0	1250	101	"1   7  13  15  39  41  50  57  67  72  74  90"	360	296	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.834459459459459	1.55888760155538	9
862902	V03	RS	0.997296	Cz	"E3 E69 E75"	0	1266	101	"11  12  23  37  42  53  55  59  97  98"	360	213	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	3.07511737089202	2.7324034983268	10
478862	V03	RS	0.9805106	Cz	"E21 E57 E75"	0	1023	101	"3    5    6    9   10   14   15   16   18   20   21   22   25   28   34   36   46   50   56   61   63   69   72   80   91   97  101"	360	175	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	2.62857142857143	2.58071666832442	10
738998	V03	RS	0.9750281	Cz	"E8 E65 E66 E70"	0	909	100	"3   5   7   8  11  13  17  19  20  21  23  27  29  30  34  35  37  38  42  44  46  48  56  58  66  75  77  83  96"	360	259	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	3.49034749034749	3.2004880131307	10
139276	V03	RS	0.9982902	Cz	"E3 E25 E110"	0	1168	101	"4   5   9  12  13  15  19  29  30  32  46  47"	360	307	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.13029315960912	2.03947022598161	9
949008	V03	RS	0.8454936	Cz	"E2 E9 E16 E30"	0	1350	100	"2   5   7   8  14  15  18  20  21  23  24  26  27  29  30  36  37  40  44  48  52  54  64  66  72  83  84  89  94  97"	360	356	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1.04775280898876	1.33235807292902	10
759042	V03	RS	0.1485194	Cz	"E6 E25 E70 E74"	0	1823	100	"9  10  11  13  14  17  18  19  20  21  22  23  26  28  30  32  33  35  36  45  61  72  75"	360	308	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1.15909090909091	1.90934999722525	10
747944	V03	RS	0.7334419	Cz	"E9 E22 E39 E54 E58"	0	1281	99	"6   8  12  13  16  17  20  22  23  25  26  29  36  38  39  41  48  49  50  51  55  56  57  59  60  61  63  64  65  66  67  69  71  75  81  84  89  99"	360	357	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	0.2296918767507	0.898133623642369	7
287717	V03	RS	0.8970466	Cz	"E59 E83"	0	912	102	"6   7   9  13  18  20  21  22  23  24  25  31  33  37  39  40  41  42  47  52  85"	360	341	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	0.334310850439883	1.08720981665948	9
236907	V03	RS	0.9563713	Cz	"E31 E54 E70 E78"	0	2368	100	4	360	57	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1.40350877192982	2.24292259215203	9
291742	V03	RS	0.6672429	Cz	"E33 E39 E45"	0	809	101	"16  21  22  23  25  29  31  36  37  38  43  56  62  63  67  71  79  89  90"	360	330	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.68181818181818	1.40946745541538	8
317067	V03	RS	0.9905337	Cz	"E2 E5 E7 E55 E74 E83 E91"	0	1382	97	"5  12  19  23  25  28  39  44  48  55  57  78  91"	360	241	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	0.796680497925311	1.89190968820566	10
883146	V03	RS	0.9665966	Cz	E78	0	1289	103	"36  52  56  81  93"	360	142	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1.97887323943662	2.75338169859249	10
